# ell    tt_lensed   ee_lensed   bb_lensed   te_lensed   tt_unlensed ee_unlensed bb_unlensed te_unlensed kk
146 4.212555e+03 1.054446e+00 6.161886e-03 -4.418980e+01 1.232972e+00 3.072186e-04 0.000000e+00 -1.297058e-02 8.064427e+00
147 4.245470e+03 1.051146e+00 6.253643e-03 -4.428741e+01 1.225837e+00 3.020790e-04 0.000000e+00 -1.282432e-02 8.236448e+00
148 4.278224e+03 1.047411e+00 6.346292e-03 -4.436248e+01 1.218737e+00 2.969244e-04 0.000000e+00 -1.267438e-02 8.410735e+00
149 4.310803e+03 1.043248e+00 6.439836e-03 -4.441456e+01 1.211668e+00 2.917590e-04 0.000000e+00 -1.252083e-02 8.587298e+00
150 4.343191e+03 1.038667e+00 6.534280e-03 -4.444323e+01 1.204626e+00 2.865867e-04 0.000000e+00 -1.236373e-02 8.766143e+00
151 4.375365e+03 1.033674e+00 6.629625e-03 -4.444820e+01 1.197606e+00 2.814113e-04 0.000000e+00 -1.220318e-02 8.947285e+00
152 4.407332e+03 1.028278e+00 6.725874e-03 -4.442918e+01 1.190610e+00 2.762363e-04 0.000000e+00 -1.203928e-02 9.130729e+00
153 4.439075e+03 1.022494e+00 6.823029e-03 -4.438588e+01 1.183636e+00 2.710670e-04 0.000000e+00 -1.187212e-02 9.316490e+00
154 4.470594e+03 1.016337e+00 6.921093e-03 -4.431816e+01 1.176683e+00 2.659087e-04 0.000000e+00 -1.170184e-02 9.504573e+00
155 4.501880e+03 1.009808e+00 7.020067e-03 -4.422566e+01 1.169751e+00 2.607621e-04 0.000000e+00 -1.152849e-02 9.694990e+00
156 4.532940e+03 1.002928e+00 7.119952e-03 -4.410824e+01 1.162841e+00 2.556339e-04 0.000000e+00 -1.135220e-02 9.887747e+00
157 4.563750e+03 9.956996e-01 7.220748e-03 -4.396561e+01 1.155950e+00 2.505247e-04 0.000000e+00 -1.117306e-02 1.008286e+01
158 4.594317e+03 9.881517e-01 7.322457e-03 -4.379757e+01 1.149079e+00 2.454426e-04 0.000000e+00 -1.099115e-02 1.028033e+01
159 4.624626e+03 9.802850e-01 7.425078e-03 -4.360388e+01 1.142226e+00 2.403878e-04 0.000000e+00 -1.080657e-02 1.048017e+01
160 4.654667e+03 9.721221e-01 7.528612e-03 -4.338443e+01 1.135389e+00 2.353660e-04 0.000000e+00 -1.061942e-02 1.068239e+01
161 4.684417e+03 9.636783e-01 7.633058e-03 -4.313891e+01 1.128563e+00 2.303808e-04 0.000000e+00 -1.042978e-02 1.088700e+01
