,RADeg,decDeg,z,fluxmJy_1.4GHz,fluxmJy_30GHz,fluxmJy_90GHz,fluxmJy_148GHz,fluxmJy_219GHz,fluxmJy_277GHz,fluxmJy_350GHz
191525,5.30715,3.547759000000002,1.93722,0.064787,0.00559931,0.00230592,0.00154837,0.00113166,0.000937746,0.000777704
191526,4.998061,6.466622000000006,1.93728,0.112707,0.00965159,0.00400416,0.00268963,0.00196583,0.00162899,0.00135097
191527,8.399174,3.9272419999999952,1.93731,0.101634,0.00903477,0.00359774,0.00239995,0.0017509,0.00145031,0.00120259
191528,11.05057,6.726867000000005,1.93734,0.405552,0.163979,0.145334,0.101964,0.0648608,0.0457403,0.0305023
191529,11.053415,6.730692000000002,1.93734,0.591956,0.0499465,0.0206748,0.0138869,0.0101498,0.00841063,0.00697522
191530,6.983955,10.744842000000004,1.93735,0.194531,0.0159525,0.00662226,0.00444827,0.00325121,0.00269412,0.00223432
191531,2.693831,4.627819999999998,1.93735,0.0804588,0.0161603,0.0060273,0.0030839,0.00179847,0.00133905,0.00102989
191532,5.425069,3.7168949999999974,1.93735,0.0586017,0.00502944,0.00208458,0.00140009,0.0010233,0.000847956,0.000703238
191533,7.14939,8.898899000000004,1.93737,0.615324,0.051395,0.0212537,0.0142758,0.0104341,0.0086462,0.00717059
191534,10.542273,8.275682999999997,1.93747,0.175233,0.0149248,0.00619741,0.00416289,0.00304263,0.00252128,0.00209098
191535,3.506763,4.857223000000002,1.93751,0.138554,0.0117718,0.004888,0.00328334,0.00239977,0.00198857,0.00164919
191536,3.508547,4.853726999999995,1.93751,0.125117,0.0108252,0.00445013,0.00298743,0.00218333,0.0018092,0.00150043
191537,9.303661,3.0663460000000042,1.93752,2.14561,0.181176,0.0751833,0.0505012,0.036911,0.0305863,0.0253662
191538,4.303681,10.350668,1.93752,0.081435,0.00686199,0.00284885,0.00191362,0.00139865,0.00115899,0.000961191
191540,6.219877,11.139143000000002,1.93759,0.110147,0.00946662,0.00392207,0.00263415,0.00192524,0.00159535,0.00132308
191541,4.122247,7.470273999999995,1.9376,4.98058,0.568468,0.193938,0.120998,0.0861607,0.0709313,0.0586523
191542,4.121147,7.475627999999995,1.9376,0.256776,0.0218966,0.0090924,0.0061075,0.00446393,0.00369904,0.00306774
191543,2.3535000000000004,0.9643370000000029,1.93763,0.072154,0.00611661,0.00253983,0.00170604,0.00124693,0.00103327,0.000856928
191544,9.98034,9.361696999999996,1.93765,0.127517,0.0170283,0.0067602,0.00396413,0.00258573,0.00202496,0.00160903
191545,6.175465,4.603359000000006,1.93767,0.0604506,0.00525086,0.0021743,0.00145653,0.00106278,0.000880068,0.000729535
